entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
1818,1,0,203.511,239.194,-1,-1,-1,1.45879,0,0,0,2.20601,0,0,0,23.3106,0,0,0
1819,1,0,178.825,192.292,-1,-1,-1,-0.474565,0,0,0,-1.76276,0,0,0,21.1991,0,0,0
1820,1,0,209.38,219.831,-1,-1,-1,0.870297,0,0,0,-2.85368,0,0,0,33.5314,0,0,0
1821,2,0,239.956,240.915,51.8402,-1,-1,1.51816,-2.20727,0,0,-3.09526,1.61077,0,0,49.9835,9.24032,0,0
1822,1,0,298.23,327.45,-1,-1,-1,-1.62898,0,0,0,1.29727,0,0,0,24.1285,0,0,0
1823,1,0,194.681,209.221,-1,-1,-1,2.26997,0,0,0,-0.523112,0,0,0,20.1469,0,0,0
1824,2,0,247.034,286.636,47.3079,-1,-1,-0.0879293,1.14569,0,0,3.08867,-0.485093,0,0,29.4596,8.76401,0,0
1825,2,0,177.687,123.871,65.668,-1,-1,2.11427,1.86767,0,0,0.698079,0.355642,0,0,10.9105,9.19704,0,0
1826,3,0,102.002,222.612,150.597,35.9595,-1,0.700408,-0.106257,1.36754,0,0.826239,-2.88381,-1.77868,0,25.0051,15.1788,8.34028,0
1827,2,0,421.184,341.408,139.233,-1,-1,-1.33467,0.188754,0,0,1.17339,1.14792,0,0,27.5022,24.3844,0,0
1828,1,0,761.864,761.514,-1,-1,-1,-0.496574,0,0,0,2.8022,0,0,0,69.565,0,0,0
1829,2,0,313.627,265.158,108.295,-1,-1,-1.74447,-2.30346,0,0,-2.91916,-2.23795,0,0,31.1157,14.8606,0,0
1830,2,0,558.42,525.805,45.3458,-1,-1,-1.92249,-0.527706,0,0,-0.0733049,0.885777,0,0,92.457,6.34288,0,0
1831,2,0,196.638,155.956,36.4032,-1,-1,0.350156,1.49922,0,0,1.43929,1.37205,0,0,24.5165,8.09501,0,0
1832,3,0,216.969,301.095,86.5898,61.5765,-1,-2.15188,-1.54742,1.54554,0,-0.644377,-1.96962,1.80226,0,24.3085,12.0768,10.6182,0
1833,2,0,234.378,183.206,39.337,-1,-1,-0.586533,-0.0635147,0,0,2.66998,2.6442,0,0,30.0202,8.11647,0,0
1834,2,0,143.562,183.38,66.7935,-1,-1,1.46339,2.16603,0,0,1.33327,-2.72282,0,0,18.5499,11.6902,0,0
1835,2,0,453.66,397.239,88.7277,-1,-1,-0.7517,0.937734,0,0,2.70746,2.4735,0,0,26.4445,18.1505,0,0
