entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
102,1,0,102.365,72.3322,-1,-1,-1,-0.848122,0,0,0,1.5585,0,0,0,8.75735,0,0,0
103,2,0,67.0681,58.7347,36.1083,-1,-1,0.0453671,-1.16029,0,0,1.08442,0.211681,0,0,9.7413,6.45717,0,0
104,4,0,84.8428,189.405,66.9997,64.9565,59.034,1.70818,-0.788477,0.825589,-0.617812,-2.56857,2.02807,1.06786,-0.32388,20.7727,12.4986,9.86649,9.57088
105,2,0,71.2831,75.5241,66.673,-1,-1,-0.250903,0.121288,0,0,-0.153878,1.6691,0,0,10.8067,8.88665,0,0
106,2,0,47.0335,102.042,62.0738,-1,-1,-2.32767,-0.848023,0,0,2.2177,-2.06011,0,0,16.9865,12.8849,0,0
107,1,0,61.2682,61.5471,-1,-1,-1,0.000893238,0,0,0,2.38457,0,0,0,13.0356,0,0,0
108,2,0,66.3232,96.454,55.3225,-1,-1,0.109577,-2.02934,0,0,0.532147,3.03078,0,0,15.2003,6.48522,0,0
109,2,0,208.529,117.517,82.2887,-1,-1,0.0651081,0.867154,0,0,-0.972297,-1.68115,0,0,8.32539,15.0393,0,0
110,1,0,77.4192,41.3393,-1,-1,-1,0.780168,0,0,0,1.43317,0,0,0,7.27907,0,0,0
111,1,0,103.056,48.1326,-1,-1,-1,-0.509045,0,0,0,-1.74449,0,0,0,6.88218,0,0,0
112,2,0,69.3176,84.5231,39.2901,-1,-1,-0.883306,-1.43875,0,0,-1.56121,0.405677,0,0,13.8136,8.97243,0,0
113,2,0,43.4745,72.1659,43.8957,-1,-1,0.868215,1.36357,0,0,0.0314096,-2.92561,0,0,10.5756,8.51079,0,0
114,2,0,90.1068,90.2441,85.6277,-1,-1,-0.191082,0.568234,0,0,2.21237,-2.79047,0,0,7.64098,8.10963,0,0
115,1,0,76.5292,73.7447,-1,-1,-1,0.511987,0,0,0,-2.83563,0,0,0,14.2149,0,0,0
116,1,0,75.2292,52.5678,-1,-1,-1,-0.511053,0,0,0,-3.022,0,0,0,8.37744,0,0,0
117,3,0,48.0828,90.4971,61.9661,37.9926,-1,1.39986,0.826176,1.39274,0,-0.582984,1.70666,-1.64201,0,13.3282,13.0913,7.4196,0
118,0,0,70.5673,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
119,3,0,88.2214,56.5905,46.3839,36.1072,-1,1.24258,0.302486,1.33178,0,1.31567,-3.1082,-2.81707,0,9.12005,6.1771,5.36603,0
120,2,0,15.878,51.2032,45.8246,-1,-1,2.24181,-2.12188,0,0,0.7453,-2.31494,0,0,8.02812,8.41221,0,0
121,3,0,212.78,317.188,78.4692,66.7149,-1,-0.752328,-0.586546,-0.401558,0,1.27384,-2.95799,-1.18996,0,37.2528,6.40342,11.6808,0
122,2,0,25.7395,62.019,49.4969,-1,-1,-1.50837,-1.6523,0,0,0.391578,-1.8301,0,0,8.77493,10.1237,0,0
123,0,0,27.008,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
124,1,0,39.1207,45.8027,-1,-1,-1,-0.218726,0,0,0,2.48124,0,0,0,8.75829,0,0,0
125,4,0,51.4168,386.089,167.636,92.0718,41.7398,0.213727,1.07875,0.617137,0.705476,-2.89007,-0.0212006,0.454993,-0.975598,32.9463,16.6718,11.6547,8.19993
126,0,0,59.6156,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
127,3,0,175.094,93.5587,72.3119,38.842,-1,0.973357,-0.550536,0.975233,0,1.64022,1.10274,0.542757,0,18.6941,7.03619,7.23637,0
128,1,0,267.85,184.054,-1,-1,-1,-0.781303,0,0,0,0.20836,0,0,0,17.6449,0,0,0
129,2,0,140.406,143.086,110.223,-1,-1,-1.30873,-1.10746,0,0,-0.619718,0.582683,0,0,17.3633,13.4015,0,0
130,1,0,45.6513,58.0012,-1,-1,-1,-0.246629,0,0,0,0.569137,0,0,0,7.47608,0,0,0
131,3,0,99.1132,128.76,43.9137,39.2241,-1,0.830619,-1.7163,-0.725487,0,2.86391,2.81403,-0.746936,0,27.4825,7.14418,6.15404,0
132,0,0,25.8342,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
133,4,0,290.211,201.108,130.465,72.2977,52.5323,-0.0436115,0.109139,-0.123418,-0.167462,-0.0943955,2.76434,2.34634,-0.746641,20.4796,18.5843,13.8295,12.1856
134,2,0,113.559,180.823,42.5318,-1,-1,-1.09902,-0.303531,0,0,-0.0278879,-2.70183,0,0,21.8437,5.17287,0,0
135,2,0,147.3,161.405,97.5253,-1,-1,1.83739,0.567903,0,0,1.68706,-1.39548,0,0,12.4281,10.0158,0,0
136,2,0,87.9173,58.2227,38.2517,-1,-1,0.542309,-0.841948,0,0,1.34785,-2.98946,0,0,7.1608,5.87691,0,0
137,3,0,85.1922,103.846,88.5001,44.6114,-1,-0.185141,-1.30119,0.16074,0,0.055395,2.87803,-3.08463,0,21.4191,19.2955,6.23971,0
138,3,0,161.076,158.658,85.1565,65.7348,-1,1.13331,0.371782,-1.59074,0,-0.891085,-2.23833,1.64866,0,21.9086,9.61711,10.8263,0
139,4,0,97.0384,54.7121,52.6132,47.6983,40.6011,1.70934,1.20632,1.03389,1.28018,-2.42459,0.919235,-1.70827,2.35656,10.5497,8.46405,5.85464,7.70939
140,2,0,51.8867,45.2743,36.0972,-1,-1,1.5117,1.41398,0,0,0.200604,-2.72977,0,0,7.84416,7.41696,0,0
141,1,0,140.071,137.786,-1,-1,-1,1.42415,0,0,0,0.0382932,0,0,0,20.0327,0,0,0
142,1,0,57.5859,42.3445,-1,-1,-1,1.04809,0,0,0,1.86871,0,0,0,7.41507,0,0,0
143,3,0,33.7049,80.5722,55.2765,36.7716,-1,-1.32213,0.326918,0.493797,0,-2.439,0.0655899,1.23447,0,17.2279,9.79405,6.43728,0
144,2,0,115.02,55.8556,38.5143,-1,-1,-1.48408,2.26444,0,0,1.7874,0.271061,0,0,11.3281,8.09289,0,0
145,2,0,56.6107,72.3543,57.0679,-1,-1,-0.345638,-1.92739,0,0,-2.25626,2.47547,0,0,12.2122,7.02042,0,0
146,1,0,46.4109,37.2454,-1,-1,-1,0.0902886,0,0,0,-0.20472,0,0,0,8.91819,0,0,0
147,0,0,55.2393,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
148,2,0,38.5534,75.2655,70.3861,-1,-1,-0.0374782,-0.164512,0,0,-2.87082,-0.315577,0,0,7.14451,9.06454,0,0
149,2,0,71.698,63.6591,51.7183,-1,-1,-1.46166,-1.28684,0,0,-1.81316,0.557638,0,0,9.82695,8.82718,0,0
150,3,0,25.2028,89.3258,52.5968,36.0497,-1,0.82949,0.848958,0.782924,0,1.86448,-0.347835,-1.88849,0,11.1921,7.03003,5.8901,0
151,3,0,43.6116,68.7219,67.784,41.8285,-1,-2.09874,-1.6374,-1.15489,0,0.684971,-0.767677,-2.87618,0,8.05494,8.47118,6.29909,0
152,2,0,89.1871,51.8573,39.2223,-1,-1,0.327912,-1.04663,0,0,2.40889,1.46697,0,0,5.63964,5.12159,0,0
153,4,0,149.228,85.4299,76.9233,64.73,51.7234,0.323816,-0.335693,-2.26866,-1.90197,1.63607,-1.64809,0.485022,-0.478501,6.82998,13.0768,11.3654,11.7008
154,2,0,46.7883,79.8004,64.3999,-1,-1,0.779095,-1.25656,0,0,-0.460211,-2.57752,0,0,17.4352,7.02618,0,0
155,3,0,113.52,124.237,109.751,101.647,-1,-1.73421,-1.9826,-0.544657,0,-1.70894,-2.276,0.994361,0,16.7653,8.31005,12.877,0
156,2,0,104.049,98.4627,95.3439,-1,-1,2.24477,1.4296,0,0,0.835175,2.55962,0,0,10.5487,7.34473,0,0
157,0,0,11.9709,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,69.2529,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
159,1,0,35.3936,38.6092,-1,-1,-1,0.231839,0,0,0,2.99809,0,0,0,4.80244,0,0,0
160,1,0,52.888,52.464,-1,-1,-1,-1.16122,0,0,0,-1.76346,0,0,0,7.05531,0,0,0
161,2,0,51.8065,73.534,47.4888,-1,-1,1.59037,0.703652,0,0,-0.493086,1.98134,0,0,14.186,9.64034,0,0
162,3,0,146.817,215.17,170.344,102.166,-1,-0.871024,-2.24619,0.933612,0,-1.12077,2.00471,-1.64536,0,31.339,37.1945,12.4851,0
163,0,0,39.9261,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
164,2,0,41.5524,47.4227,37.2278,-1,-1,-0.40636,-2.00325,0,0,-0.0263292,-1.86922,0,0,7.68922,4.7443,0,0
165,1,0,43.942,41.7414,-1,-1,-1,-0.0406111,0,0,0,0.191201,0,0,0,6.56407,0,0,0
166,3,0,33.0382,47.7855,44.3024,42.5412,-1,0.705445,-0.95468,0.763464,0,2.8339,0.213718,-0.816354,0,7.57697,4.64704,6.88982,0
167,3,0,71.2829,102.118,64.2805,54.4335,-1,-0.505996,0.475718,0.523109,0,-1.84534,-1.37735,0.417875,0,10.6678,11.6097,11.7034,0
168,2,0,130.072,398.787,358.916,-1,-1,-0.0300448,0.387019,0,0,0.662466,-2.42885,0,0,28.9843,18.3603,0,0
169,4,0,38.5227,439.549,328.643,163.084,93.4544,0.206788,0.985759,1.38607,0.0861637,3.07461,-0.00739986,0.408316,-2.71275,43.6172,26.595,29.5218,11.9558
170,3,0,102.878,93.8259,48.6749,38.2236,-1,-0.657086,1.37497,-0.117701,0,2.47337,-2.16828,2.42513,0,23.4113,9.65038,6.90959,0
